id,status_group
50785,functional
51630,functional needs repair
17168,non functional
45559,functional
49871,functional
52449,functional needs repair
24806,functional
28965,functional needs repair
36301,functional needs repair
54122,functional
419,functional
45750,non functional
653,functional
14017,functional needs repair
44607,functional
40228,functional
27714,functional needs repair
28785,functional needs repair
28330,non functional
18532,functional
69961,functional
55083,non functional
8691,non functional
30331,functional needs repair
70970,functional
61136,functional
28799,functional
46825,non functional
44718,functional needs repair
37350,functional needs repair
65738,non functional
3271,non functional
42658,functional
67523,non functional
37034,functional needs repair
42432,functional needs repair
27420,functional
707,functional
48489,functional needs repair
51008,non functional
72562,functional needs repair
10275,functional needs repair
53540,functional needs repair
43291,functional needs repair
8813,non functional
62343,non functional
1649,functional needs repair
8822,non functional
10352,functional needs repair
50878,functional needs repair
15266,functional
51956,functional
44099,functional
59,functional
51359,functional
15962,functional needs repair
17853,non functional
42040,non functional
72243,functional needs repair
63653,non functional
26510,functional
72053,functional
29351,functional needs repair
51897,functional needs repair
20376,non functional
26804,functional needs repair
67303,functional needs repair
69780,non functional
45374,functional needs repair
54665,functional needs repair
39341,functional
8869,functional
20691,non functional
19693,non functional
14321,functional needs repair
63059,non functional
67403,functional needs repair
28912,functional
12549,functional needs repair
24328,non functional
13750,non functional
1574,functional
44149,functional needs repair
53917,functional
22705,functional
66465,functional needs repair
15644,functional needs repair
20773,functional
33092,non functional
54392,functional needs repair
37850,functional
5576,functional needs repair
60840,non functional
9971,non functional
57508,functional
25872,non functional
43978,non functional
38181,functional
24325,functional
2724,functional needs repair
34794,non functional
56525,functional needs repair
63155,non functional
67247,functional needs repair
23387,functional needs repair
17873,functional
18197,non functional
24834,functional needs repair
4091,functional
33261,non functional
44384,non functional
62096,functional
64554,functional
68314,functional needs repair
53,functional needs repair
23426,functional
38259,non functional
16631,functional needs repair
43162,functional
44492,functional
38884,functional needs repair
13690,non functional
60335,non functional
31856,functional
67891,non functional
25564,functional
55293,non functional
31866,non functional
71178,functional needs repair
60279,non functional
28615,functional needs repair
8744,functional
48308,functional
49626,non functional
38098,functional
30309,functional needs repair
8015,non functional
3496,functional needs repair
56971,functional
68616,functional
8646,functional needs repair
74104,non functional
37501,non functional
33001,functional needs repair
69202,functional needs repair
68409,functional needs repair
51847,functional
55647,non functional
17923,functional needs repair
71743,non functional
51539,functional needs repair
73819,functional
66881,functional
58768,functional
2648,functional needs repair
68933,functional needs repair
12427,non functional
16633,functional needs repair
24123,functional
58551,functional
17132,functional needs repair
3027,non functional
2651,functional
25998,functional needs repair
63400,functional needs repair
50028,functional needs repair
67897,functional needs repair
21425,non functional
71756,functional
16862,non functional
15420,non functional
47784,non functional
712,functional needs repair
54368,non functional
2866,non functional
51130,functional needs repair
27993,non functional
21621,functional needs repair
66038,functional needs repair
42182,functional needs repair
17694,functional needs repair
57759,functional
47978,functional needs repair
52359,functional
69656,non functional
24086,functional needs repair
43579,functional
43284,non functional
2877,functional needs repair
21171,functional needs repair
40982,non functional
48396,non functional
13323,functional
28467,functional
2768,functional
73593,non functional
65164,non functional
69976,non functional
52145,functional
49259,functional
23542,functional
69848,functional needs repair
9305,non functional
14359,functional needs repair
28925,non functional
21243,non functional
10616,functional needs repair
73667,functional needs repair
20566,functional
63711,non functional
72840,functional needs repair
31651,non functional
3782,functional needs repair
6799,functional
21402,functional
35390,functional needs repair
12636,functional needs repair
36887,functional needs repair
20086,non functional
5634,functional
48029,functional needs repair
29927,functional
2930,functional needs repair
41800,functional
68349,functional
61678,non functional
30270,non functional
4678,non functional
9392,functional
20735,non functional
49300,functional needs repair
70339,functional needs repair
25572,functional
61445,functional
32190,functional
39189,functional needs repair
14853,functional needs repair
52207,functional needs repair
48035,functional needs repair
73122,functional
16352,non functional
42721,functional
15116,functional
7837,functional needs repair
56907,non functional
46382,functional needs repair
64521,functional
67362,functional needs repair
61861,non functional
72139,non functional
3398,non functional
62911,functional needs repair
48152,functional needs repair
48001,non functional
64118,non functional
65793,functional needs repair
61557,functional needs repair
32352,functional needs repair
1830,functional needs repair
50553,functional needs repair
51961,functional needs repair
38481,functional
48371,functional
56540,functional
18142,non functional
72934,functional needs repair
39300,functional
40115,functional
3793,functional
59318,non functional
68070,functional needs repair
67527,non functional
34898,functional
26592,functional
67682,functional
52394,functional needs repair
32218,functional
69045,functional
12808,non functional
49250,non functional
64126,functional
64903,functional
35165,functional needs repair
9543,non functional
64635,functional
47929,non functional
28329,functional needs repair
67954,functional
16575,functional
16612,functional
27003,functional
73324,functional
7043,functional
22174,functional needs repair
19450,non functional
35825,functional
9854,functional
23254,non functional
72170,functional needs repair
61999,functional needs repair
70354,non functional
6877,non functional
47323,functional needs repair
48624,non functional
6148,non functional
59698,functional
67268,functional needs repair
59174,functional
68916,non functional
28358,non functional
57453,functional
71952,non functional
1761,non functional
15234,functional needs repair
60021,functional needs repair
22567,functional
17695,functional
19872,functional needs repair
22828,functional needs repair
34896,functional
35570,non functional
41325,functional
8831,functional
5345,non functional
19379,non functional
5514,functional needs repair
