id,status_group
50785,non functional
51630,non functional
17168,non functional
45559,functional
49871,functional
52449,functional
24806,non functional
28965,non functional
36301,non functional
54122,functional needs repair
419,non functional
45750,non functional
653,functional needs repair
14017,non functional
44607,non functional
40228,non functional
27714,functional
28785,functional
28330,functional
18532,functional
69961,non functional
55083,functional
8691,non functional
30331,functional
70970,functional
61136,functional
28799,functional
46825,functional
44718,functional
37350,functional
65738,non functional
3271,non functional
42658,functional
67523,functional
37034,non functional
42432,functional
27420,functional
707,functional
48489,functional
51008,functional
72562,non functional
10275,non functional
53540,functional
43291,functional
8813,non functional
62343,non functional
1649,non functional
8822,non functional
10352,functional
50878,functional
15266,functional
51956,non functional
44099,functional
59,functional
51359,non functional
15962,functional needs repair
17853,functional
42040,functional
72243,non functional
63653,functional
26510,functional
72053,functional
29351,functional
51897,functional
20376,functional
26804,functional
67303,functional
69780,functional
45374,functional
54665,functional
39341,non functional
8869,functional needs repair
20691,functional
19693,functional needs repair
14321,non functional
63059,non functional
67403,functional
28912,non functional
12549,functional needs repair
24328,functional
13750,non functional
1574,functional
44149,functional needs repair
53917,functional
22705,functional
66465,non functional
15644,functional
20773,functional
33092,non functional
54392,functional
37850,non functional
5576,functional
60840,non functional
9971,non functional
57508,functional
25872,functional
43978,functional
38181,non functional
24325,functional
2724,non functional
34794,non functional
56525,non functional
63155,functional
67247,non functional
23387,non functional
17873,non functional
18197,functional
24834,non functional
4091,functional
33261,functional
44384,non functional
62096,functional
64554,non functional
68314,functional
53,non functional
23426,functional
38259,functional
16631,non functional
43162,functional
44492,non functional
38884,functional needs repair
13690,functional
60335,non functional
31856,functional needs repair
67891,functional
25564,functional
55293,functional
31866,functional needs repair
71178,functional
60279,non functional
28615,functional
8744,functional needs repair
48308,non functional
49626,functional
38098,non functional
30309,non functional
8015,non functional
3496,non functional
56971,functional needs repair
68616,non functional
8646,functional
74104,non functional
37501,functional
33001,functional
69202,non functional
68409,non functional
51847,functional
55647,functional
17923,functional
71743,non functional
51539,functional
73819,functional
66881,functional
58768,functional
2648,functional
68933,functional
12427,non functional
16633,functional
24123,non functional
58551,functional
17132,non functional
3027,non functional
2651,functional
25998,non functional
63400,functional
50028,functional
67897,functional
21425,functional
71756,non functional
16862,non functional
15420,functional
47784,non functional
712,non functional
54368,non functional
2866,non functional
51130,non functional
27993,non functional
21621,functional
66038,functional
42182,functional
17694,functional
57759,functional needs repair
47978,functional needs repair
52359,non functional
69656,functional needs repair
24086,functional
43579,non functional
43284,non functional
2877,functional
21171,functional
40982,functional needs repair
48396,non functional
13323,functional
28467,non functional
2768,functional
73593,functional
65164,functional
69976,functional
52145,functional
49259,functional
23542,functional
69848,functional
9305,functional
14359,functional
28925,functional
21243,non functional
10616,functional
73667,functional
20566,functional needs repair
63711,functional
72840,functional
31651,non functional
3782,functional
6799,non functional
21402,non functional
35390,non functional
12636,functional
36887,non functional
20086,non functional
5634,non functional
48029,non functional
29927,non functional
2930,non functional
41800,functional
68349,functional
61678,functional
30270,functional
4678,non functional
9392,functional
20735,functional
49300,non functional
70339,functional
25572,non functional
61445,functional
32190,functional
39189,functional
14853,non functional
52207,functional
48035,functional
73122,functional
16352,functional
42721,functional
15116,functional needs repair
7837,functional
56907,functional needs repair
46382,functional
64521,non functional
67362,non functional
61861,non functional
72139,non functional
3398,non functional
62911,functional needs repair
48152,non functional
48001,functional
64118,functional needs repair
65793,functional
61557,functional
32352,non functional
1830,functional needs repair
50553,non functional
51961,non functional
38481,non functional
48371,functional
56540,functional
18142,non functional
72934,non functional
39300,functional
40115,functional
3793,functional
59318,non functional
68070,functional needs repair
67527,non functional
34898,non functional
26592,non functional
67682,functional
52394,non functional
32218,functional
69045,non functional
12808,functional
49250,functional
64126,functional
64903,non functional
35165,functional
9543,functional
64635,non functional
47929,functional
28329,non functional
67954,functional needs repair
16575,functional
16612,functional
27003,functional needs repair
73324,functional needs repair
7043,non functional
22174,non functional
19450,functional
35825,functional
9854,functional
23254,functional
72170,functional
61999,functional
70354,functional
6877,functional
47323,functional
48624,non functional
6148,functional
59698,functional needs repair
67268,non functional
59174,functional
68916,functional
28358,functional
57453,functional
71952,functional needs repair
1761,non functional
15234,non functional
60021,functional needs repair
22567,functional
17695,non functional
19872,functional
22828,functional
34896,functional
35570,functional needs repair
41325,functional needs repair
8831,functional
5345,functional needs repair
19379,non functional
5514,non functional
61654,non functional
40482,non functional
43123,non functional
40492,functional
68733,non functional
3952,functional
70288,functional
30085,functional
65837,functional
34752,non functional
2465,functional
11466,functional
22313,functional
30179,functional
23505,functional
48424,non functional
11150,functional
70368,functional
26935,functional
5919,functional
2134,non functional
16652,functional
59302,functional
24210,functional
6211,functional
19743,non functional
10760,non functional
48104,functional
50171,non functional
63137,functional needs repair
38301,functional
10948,functional
33232,non functional
61415,functional
69131,non functional
73555,functional
46610,functional
20922,functional
55743,functional
19341,functional
9588,functional
3293,functional
55490,functional
67678,functional
36119,functional
62775,functional needs repair
68162,functional
66128,functional
12036,non functional
15739,functional
57048,functional
15825,non functional
45590,functional
18055,functional
34073,functional needs repair
14860,functional
53713,non functional
69327,non functional
60169,functional
26798,non functional
37122,functional
45156,functional
22874,non functional
58774,non functional
40092,non functional
17487,functional
35886,functional
49892,non functional
66338,non functional
35481,functional needs repair
4135,non functional
54191,non functional
31349,non functional
72271,non functional
48863,functional needs repair
13758,functional
33443,non functional
12003,functional
10845,functional
47,non functional
70492,functional
11346,non functional
20126,functional
51000,non functional
64505,functional needs repair
58329,non functional
6311,non functional
22286,functional
35013,functional
6274,non functional
30904,functional
46606,functional
18461,functional
15256,functional
625,functional
42122,functional
18277,functional
68501,functional
8816,functional
62879,non functional
18554,non functional
27712,non functional
46935,functional
57804,non functional
57711,functional
5516,functional
8305,functional
57410,functional
51412,non functional
25863,functional
35994,functional needs repair
55279,non functional
74102,non functional
38277,functional
1998,functional
52056,functional
63679,functional
71762,functional
71432,functional
45592,functional
13663,functional
62227,non functional
3730,functional needs repair
2451,functional
46418,non functional
45996,non functional
60911,non functional
46089,functional
65579,non functional
40407,non functional
66663,non functional
26597,non functional
50540,non functional
58133,functional
1493,functional
31503,functional
17910,functional
19466,functional
38120,functional
66553,functional
31696,functional
51318,non functional
33584,functional
48678,non functional
36112,non functional
6294,functional
40612,non functional
62793,non functional
58090,functional
2532,functional needs repair
38865,functional needs repair
35462,functional
51709,non functional
40624,functional
41745,non functional
42315,functional
38952,non functional
45540,non functional
73833,functional
27771,non functional
9336,non functional
12545,functional needs repair
54811,functional
48326,non functional
31787,non functional
61745,functional
42091,non functional
43727,non functional
46917,non functional
26718,functional
3138,non functional
72932,functional
25707,functional
68580,functional
25064,non functional
7624,functional needs repair
3830,functional
13458,non functional
57377,non functional
37294,non functional
39561,non functional
23237,functional
72484,functional
56490,functional
13706,non functional
43035,functional needs repair
14084,functional
55875,functional
17299,non functional
1793,non functional
70943,functional
65720,non functional
49165,functional
18879,non functional
3574,functional
56735,non functional
45481,functional
51772,functional
74095,functional
54000,functional
34834,functional
50175,functional needs repair
35733,functional
6808,functional
27311,functional
73303,functional
70335,non functional
2691,non functional
12582,non functional
49536,functional
23715,non functional
45445,functional
52609,functional
35087,non functional
42767,functional
24373,functional
32895,functional
9328,non functional
23275,functional
20054,functional needs repair
8378,functional
47432,functional
49863,functional
57828,functional
31169,functional
38382,non functional
31205,functional
23528,functional
26507,non functional
67091,functional
47734,functional
927,functional
48521,non functional
16963,functional
48233,functional
58989,functional
2399,non functional
23530,functional
46271,functional
71726,functional
23526,non functional
49861,functional
22619,functional
41264,functional
20623,functional
35694,functional needs repair
68210,non functional
13446,functional
11321,functional
56312,functional
19533,functional
7275,functional needs repair
48614,functional
65873,non functional
9008,non functional
36817,functional
25767,functional
38460,functional
16756,non functional
13310,functional
36514,functional
57548,functional
2809,functional
70632,non functional
17260,functional
27950,functional
40629,non functional
64155,non functional
50640,functional
67355,non functional
32132,functional needs repair
70868,non functional
45823,functional
19985,functional
61834,functional
54171,non functional
62763,non functional
42408,functional needs repair
13151,non functional
28311,functional
57775,functional
37603,non functional
56357,non functional
37845,functional
57177,functional needs repair
12821,non functional
8193,functional
49031,functional
14011,non functional
33708,functional
68898,non functional
37198,functional
11151,functional
22264,functional
49694,functional
47318,functional
46108,functional needs repair
28297,functional
36340,non functional
26987,non functional
5766,non functional
25979,non functional
73021,functional
11908,non functional
47496,functional needs repair
61777,non functional
47591,functional
8968,non functional
45656,functional
39630,functional
2786,functional
958,functional
55843,functional needs repair
52074,non functional
23422,functional needs repair
55802,functional
61634,functional
1625,functional
37398,functional
51011,functional
49595,functional
22486,functional
22916,non functional
45204,functional
74223,non functional
35533,functional
30595,functional
47319,non functional
32555,non functional
9520,functional
53253,non functional
