id,status_group
50785,nonfunctional
51630,functional
17168,functional
45559,nonfunctional
49871,functional
52449,functional
24806,functional
28965,nonfunctional
36301,functional
54122,functional
419,functional
45750,nonfunctional
653,nonfunctional
14017,nonfunctional
44607,functional
40228,functional
27714,functional
28785,functional
28330,functional
18532,nonfunctional
69961,functional
55083,functional
8691,nonfunctional
30331,nonfunctional
70970,functional
61136,functional
28799,nonfunctional
46825,nonfunctional
44718,functional
37350,functional
65738,functional
3271,nonfunctional
42658,nonfunctional
67523,functional
37034,functional
42432,functional
27420,functional
707,functional
48489,nonfunctional
51008,nonfunctional
72562,nonfunctional
10275,functional
53540,nonfunctional
43291,nonfunctional
8813,functional
62343,nonfunctional
1649,functional
8822,functional
10352,functional
50878,functional
15266,functional
51956,functional
44099,functional
59,nonfunctional
51359,nonfunctional
15962,nonfunctional
17853,functional
42040,nonfunctional
72243,functional
63653,functional
26510,functional
72053,functional
29351,functional
51897,nonfunctional
20376,functional
26804,functional
67303,nonfunctional
69780,functional
45374,functional
54665,functional
39341,nonfunctional
8869,functional
20691,functional
19693,nonfunctional
14321,nonfunctional
63059,functional
67403,functional
28912,functional
12549,functional
24328,nonfunctional
13750,functional
1574,functional
44149,nonfunctional
53917,functional
22705,functional
66465,functional
15644,functional
20773,nonfunctional
33092,functional
54392,functional
37850,functional
5576,nonfunctional
60840,functional
9971,nonfunctional
57508,functional
25872,functional
43978,functional
38181,functional
24325,nonfunctional
2724,nonfunctional
34794,nonfunctional
56525,functional
63155,nonfunctional
67247,functional
23387,functional
17873,functional
18197,functional
24834,functional
4091,functional
33261,functional
44384,functional
62096,nonfunctional
64554,functional
68314,functional
53,functional
23426,functional
38259,nonfunctional
16631,nonfunctional
43162,functional
44492,nonfunctional
38884,nonfunctional
13690,functional
60335,functional
31856,functional
67891,functional
25564,functional
55293,functional
31866,functional
71178,functional
60279,functional
28615,functional
8744,functional
48308,functional
49626,nonfunctional
38098,functional
30309,functional needs repair
8015,functional
3496,functional needs repair
56971,functional
68616,functional
8646,functional
74104,functional
37501,functional
33001,nonfunctional
69202,functional
68409,functional
51847,nonfunctional
55647,nonfunctional
