id,status_group
50785,functional
51630,functional
17168,functional
45559,non functional
49871,functional
52449,functional
24806,non functional
28965,non functional
36301,non functional
54122,functional
419,functional
45750,functional
653,functional
14017,functional
44607,functional
40228,functional
27714,non functional
28785,non functional
28330,functional needs repair
18532,functional
69961,functional
55083,functional
8691,functional
30331,functional
70970,functional
61136,functional needs repair
28799,functional
46825,functional
44718,non functional
37350,functional
65738,functional
3271,functional
42658,functional needs repair
67523,functional
37034,functional
42432,non functional
27420,non functional
707,functional
48489,functional
51008,non functional
72562,functional
10275,functional
53540,functional
43291,non functional
8813,functional needs repair
62343,non functional
1649,functional
8822,functional
10352,functional
50878,functional
15266,functional
51956,non functional
44099,functional
59,non functional
51359,functional
15962,non functional
17853,functional
42040,non functional
72243,functional
63653,functional
26510,functional
72053,non functional
29351,functional needs repair
51897,non functional
20376,functional
26804,non functional
67303,functional
69780,non functional
45374,non functional
54665,non functional
39341,non functional
8869,non functional
20691,non functional
19693,non functional
14321,functional
63059,non functional
67403,functional
28912,functional
12549,non functional
24328,functional
13750,functional
1574,functional
44149,functional
53917,functional
22705,non functional
66465,non functional
15644,functional
20773,functional
33092,non functional
54392,functional needs repair
37850,functional needs repair
5576,non functional
60840,non functional
9971,functional
57508,non functional
25872,functional
43978,non functional
38181,functional
24325,functional needs repair
2724,non functional
34794,non functional
56525,functional
63155,functional
67247,functional needs repair
23387,functional
17873,functional
18197,functional
24834,non functional
4091,non functional
33261,functional
44384,non functional
62096,functional
64554,functional
68314,functional
53,non functional
23426,non functional
38259,functional
16631,non functional
43162,functional
44492,non functional
38884,non functional
13690,functional
60335,non functional
31856,functional
67891,functional
25564,non functional
55293,functional
31866,functional
71178,non functional
60279,non functional
28615,functional
8744,functional
48308,functional
49626,functional
38098,functional
30309,functional
8015,non functional
3496,non functional
56971,functional
68616,functional
8646,non functional
74104,functional
37501,non functional
33001,functional
69202,non functional
68409,functional
51847,functional needs repair
55647,functional
17923,non functional
71743,functional
51539,functional
73819,functional
66881,non functional
58768,non functional
2648,functional
68933,non functional
12427,functional
16633,functional needs repair
24123,functional
58551,functional
17132,functional
3027,non functional
2651,functional
25998,functional
63400,functional
50028,functional
67897,functional
21425,non functional
71756,functional
16862,functional
15420,functional
47784,non functional
712,functional
54368,functional
2866,non functional
51130,functional
27993,functional
21621,non functional
66038,functional
42182,non functional
17694,functional
57759,functional
47978,functional
52359,non functional
69656,functional
24086,functional
43579,non functional
43284,functional
2877,functional needs repair
21171,functional
40982,non functional
48396,functional
13323,functional
28467,non functional
2768,functional
73593,functional
65164,functional
69976,non functional
52145,non functional
49259,functional needs repair
23542,functional
69848,non functional
9305,functional
14359,functional
28925,functional needs repair
21243,non functional
10616,functional
73667,functional
20566,non functional
63711,functional
72840,non functional
31651,non functional
3782,non functional
6799,non functional
21402,functional needs repair
35390,non functional
12636,functional
36887,functional
20086,functional
5634,functional needs repair
48029,functional
29927,functional needs repair
2930,non functional
41800,functional
68349,non functional
61678,functional
30270,functional
4678,functional
9392,functional
20735,functional
49300,functional
70339,non functional
25572,functional needs repair
61445,non functional
32190,non functional
39189,non functional
14853,non functional
52207,functional needs repair
48035,functional needs repair
73122,non functional
16352,non functional
42721,non functional
15116,non functional
7837,non functional
56907,functional
46382,non functional
64521,functional
67362,functional
61861,functional
72139,non functional
3398,functional
62911,functional
48152,non functional
48001,functional needs repair
64118,functional
65793,non functional
61557,non functional
32352,non functional
1830,functional
50553,non functional
51961,non functional
38481,non functional
48371,non functional
56540,non functional
18142,functional
72934,non functional
39300,functional
40115,functional
3793,functional
59318,functional
68070,non functional
67527,non functional
34898,functional
26592,functional
67682,functional
52394,non functional
32218,functional
69045,non functional
12808,functional
49250,functional needs repair
64126,functional
64903,functional
35165,functional
9543,non functional
64635,functional needs repair
47929,functional
28329,non functional
67954,functional
16575,functional
16612,non functional
